position,crown,db_horse_count,owner_count,owner_names,uma_horse_count,examples
suffix,ーシチー,127,1,友駿ホースクラブ,4,サイファーシチー | スワローシチー | バークシャーシチー | マルベリーシチー
prefix,アース,84,4,グリーンファーム | ゴドルフィン | 中島稔 | 松山増男,48,アースアクシス | アースアバンティ | アースアワー | アースアート | アースイオス
prefix,アイアム,101,4,グランド牧場 | ゴールドレーシング | ワイズマン | 堀紘一,16,アイアムアッパレ | アイアムアヒーロー | アイアムイチバン | アイアムイチリュウ | アイアムイブシギン
prefix,アイノ,160,7,井門昭二 | 田中一成 | 田中京子 | 田中充 | 田中卓 | 田中宗 | 田中幸,17,アイノアロウズ | アイノウィステリア | アイノカタチ | アイノカタマリ | アイノサンカ
prefix,アイファー,212,1,中島稔,39,アイファーアイドル | アイファーウィーク | アイファーエポック | アイファーオウジャ | アイファーキャップ
prefix,アイランド,103,2,嶋村二三男 | 嶋村誉士夫,2,アイランドガール | アイランドピーク
prefix,アキノ,91,6,山中明広 | 徳山彰俊 | 渡部正 | 秋元雅夫 | 秋山 | 穐吉正孝,7,アキノイロクサ | アキノカトレア | アキノサザン | アキノスマート | アキノビューティー
prefix,アグネス,432,5,上山牧 | 吉田権三郎 | 渡辺公美子 | 渡辺孝男 | 畑佐博,9,アグネスアース | アグネスクウ | アグネスクレスト | アグネスサンキ | アグネスシュウ
suffix,アゲン,138,2,池内賢市 | 浅川皓司,6,アスクビギンアゲン | ハピネスアゲン | バックアップアゲン | フォワードアゲン | フューチャーアゲン
prefix,アサ,77,4,手塚栄一 | 手塚静江 | 浅川吉男 | 浅沼禎夫,22,アサアール | アサカラキング | アサカラヴラヴ | アサガオ | アサガクル
prefix,アサカ,186,5,佐久間啓 | 佐久間有寿 | 協和牧場 | 浅川吉男 | 浅川昌彦,2,アサカラキング | アサカラヴラヴ
prefix,アサクサ,293,3,櫻井素子 | 田原慶子 | 田原源一郎,7,アサクサアダム | アサクサグレース | アサクサゲンキ | アサクサダイアナ | アサクサマイヒメ
prefix,アスカ,79,10,キャロットファーム | サンデーレーシング | シルクレーシング | ノルマンディーサラブレッドレーシング | ヒダカ・ブリーダーズ・ユニオン | 伊吹 | 友駿ホースクラブ | 吉田勝己 | 広尾レース | 社台レースホース,153,アスカセオン | アスカダイヤモンド | アスカノソング | アスカノツバサ | アスカノミライ
prefix,アスク,102,2,廣崎利洋 | 廣崎利洋HD,55,アスクアイルビゼア | アスクアットバット | アスクアメージモア | アスクアーバンシー | アスクイキゴミ
prefix,アスター,95,2,加藤久枝 | 加藤千豊,18,アスターエポワス | アスターエルビウム | アスターシッキム | アスターシャウルス | アスターチェンチ
prefix,アズマ,90,3,下田穰一郎 | 東哲次 | 東牧場,2,アズマサクラエモン | アズマヘリテージ
prefix,アドマイヤ,500,3,近藤利一 | 近藤旬子 | 近藤英子,41,アドマイヤアストラ | アドマイヤアリエル | アドマイヤアルバ | アドマイヤアーデル | アドマイヤイル
prefix,アポロ,214,2,アポロサラブレッドクラブ | 菅原太陽,23,アポロキラナ | アポロシュシュ | アポロスマイル | アポロセイラン | アポロダーウィン
prefix,アライ,87,6,アラキファーム | キャロットファーム | ゴドルフィン | サンデーレーシング | ノースヒルズマネジメント | 友駿ホースクラブ,60,アライアンスデイ | アライグマダッシュ | アライグマパンチ | アライバル | アライブテーラー
prefix,アルファ,126,2,貴悦 | 近藤勝安,20,アルファインディ | アルファウィンザー | アルファウェーブ | アルファウォーリア | アルファエッジ
prefix,イイデ,110,2,アールエスエーカントリ | 松本俊廣,8,イイデカンタロウ | イイデスカイハイ | イイデスカイボス | イイデスカイルル | イイデチャンプ
prefix,イシノ,117,4,アーネストクラブ | サンデー | 石井与一 | 石川コウ佐久,1,イシノビバーチェ
prefix,イブキ,401,1,伊吹,0,
prefix,インター,574,4,インターナシヨナルホース | 松岡正雄 | 松岡留枝 | 松岡雅昭,7,インターアーバン | インターシア | インターステラ | インターセプト | インターポーザー
prefix,ウィア,97,14,カナヤマホールディングス | キャロットファーム | グランド牧場 | ゴドルフィン | サンデーレーシング | シルクレーシング | ターフ・スポート | ヒダカ・ブリーダーズ・ユニオン | 了徳寺健二ホールディングス | 吉田勝己 | 岡田牧雄 | 社台レースホース | 臼田浩義 | 金子真人ホールディングス,126,ウィア | ウィアザピープル | ウィアステーラ | ウィウィルウィン | ウィキャン
prefix,ウイン,793,13,ウイン | キャロットファーム | サンデーレーシング | ヒダカ・ブリーダーズ・ユニオン | ホースマン | ミルファーム | 伊藤豊 | 加藤牧場 | 勝福 | 北野勝廣 | 友駿ホースクラブ | 岡田牧雄 | 社台レースホース,253,ウインアイオライト | ウインアイリーン | ウインアイルグロウ | ウインアウォード | ウインアキレウス
prefix,ウエスタン,463,4,ウエスタンファーム | 西川 | 西川幸男 | 西川賢,11,ウエスタンアダム | ウエスタンアミーゴ | ウエスタンオレンジ | ウエスタンカッター | ウエスタンクリス
prefix,ウォーター,294,2,山岡正人 | 山岡良一,36,ウォーターアイアイ | ウォーターアデル | ウォーターアレ | ウォーターエアリー | ウォーターエクラン
prefix,ウメノ,159,5,元梅照男 | 加賀章 | 梅崎敏則 | 梅野光恵 | 楳津繁,0,
prefix,エア,329,4,ラッキーフィールド | 友駿ホースクラブ | 吉原毎文 | 吉原貞敏,39,エアアネモイ | エアアルチーナ | エアアルマス | エアアレクサンドラ | エアイナーン
prefix,エイシン,1299,5,平井克彦 | 平井泰男 | 平井淑郎 | 平井豊光 | 栄進堂,272,エイシンアイヴィー | エイシンアザレア | エイシンアスター | エイシンアニーモ | エイシンアビス
prefix,エイユー,133,4,永井啓弍 | 笹部博邦 | 笹部和子 | 笹部義則,11,エイユーウォーリア | エイユーキュート | エイユークック | エイユーサクラ | エイユーサブリナ
prefix,エーアイ,103,4,キャロットファーム | 平井宏承 | 社台レースホース | 鶴巻道子,72,エーアイキリシマ | エーアイクワイ | エーアイダンサー | エーオ | エーオーキング
prefix,エーシン,288,2,平井宏承 | 栄進堂,0,
prefix,エーピー,170,2,デルマークラブ | 鶴巻道子,1,エーピーポエティス
prefix,エコロ,149,1,原村正紀,84,エコロアイ | エコロアジェンダ | エコロアゼル | エコロアテナ | エコロアビス
prefix,エビス,110,7,エビス | 加藤友三郎 | 加藤晃央 | 山本廣 | 岩本五郎 | 横市正文 | 菅原勝,1,エビスディアーナ
prefix,エプソム,236,1,ジャパン・ホースマン・クラブ,0,
prefix,エリモ,347,5,山本三津子 | 山本慎一 | 山本敏晴 | 山本菊一 | 岡本修,2,エリモグリッター | エリモシーサイド
prefix,オースミ,310,2,オースミ | 山路秀則,9,オースミカテドラル | オースミサイファー | オースミストロング | オースミプリンセス | オースミミライ
prefix,オート,89,3,大戸志浦 | 大戸時子 | 大戸秀次,3,オートカリテ | オートマティック | オートヴィル
prefix,オーミ,112,2,大西牧場 | 岩崎僖澄,7,オーミシンゲン | オーミステラータ | オーミチェリー | オーミテンペスト | オーミパルーザ
prefix,オギ,212,1,荻伏レーシング・クラブ,2,オギフシノチカイ | オギフシノネガイ
prefix,オメガ,124,2,原礼子 | 原禮子,31,オメガインペリアル | オメガウインク | オメガエクレール | オメガエリタージュ | オメガオリーブ
prefix,オンワード,549,5,オンワード牧場 | 樫山ハル | 樫山章子 | 樫山純三 | 樫山軌四夫,2,オンワードセルフ | オンワードマリー
prefix,カシノ,472,1,柏木務,61,カシノアイドル | カシノアップビート | カシノアミュレット | カシノアラート | カシノアルバ
prefix,カシマ,156,4,カシマ | 松浦一久 | 松浦安雄 | 鹿島直麿,6,カシマエスパーダ | カシマスウィープ | カシマテッコン | カシマブライトン | カシマライフウ
prefix,カネコメ,94,4,太田清 | 服部文男 | 畠山伊公子 | 金指利明,33,カネコメアサヒ | カネコメシスター | カネコメノボル | カネコメファミリー | カネコメブライト
prefix,カネトシ,199,3,兼松利男 | 兼松忠男 | 兼松昌男,21,カネトシアンカー | カネトシエテルノ | カネトシクラッチ | カネトシケッソク | カネトシゴウト
prefix,カフェ,110,3,西川光一 | 西川恭子 | 西川清,35,カフェアリス | カフェアローロ | カフェオリーブ | カフェカズショコラ | カフェカルマ
suffix,カフェ,115,3,西川光一 | 西川恭子 | 西川清,18,アルカディアカフェ | アロンジカフェ | アンジェラカフェ | イカロスカフェ | イージスカフェ
prefix,カフジ,78,2,加藤千豊 | 加藤守,24,カフジアスール | カフジアッサム | カフジウヴァ | カフジエニアゴン | カフジエメンタール
prefix,カミノ,282,7,保手浜弘規 | 宇賀神英子 | 小林一成 | 山本幸弘 | 村上正喜 | 野上勝也 | 野上政次,16,カミノアカネ | カミノアスール | カミノカガヤキ | カミノケンシン | カミノコ
prefix,カルストン,176,1,清水貞光,7,カルストンオリビア | カルストンデライト | カルストントラスト | カルストンドラマ | カルストンブランド
prefix,カレン,98,1,鈴木隆司,35,カレンアイバーソン | カレンアップラウゾ | カレンアルカンタラ | カレンウユ | カレンエクスカリバ
prefix,キー,178,6,サンデーレーシング | 北前孔一郎 | 北前正美 | 北前米子 | 社台レースホース | 高田喜嘉,55,キーウィル | キーウェーブ | キーオブハート | キーガッツ | キークラシック
prefix,キクノ,237,8,中臺恵二 | 佐々木幸子 | 佐々木秋芳 | 小原巖 | 田中伊三郎 | 菊池五郎 | 菊農高幹 | 高村貴久雄,14,キクノアーデント | キクノキング | キクノクライフ | キクノサヴィ | キクノジョワイユ
prefix,キシュウ,107,2,木村善一 | 木村昌三,1,キシュウサラトイロ
prefix,キタサン,206,1,大野商事,29,キタサンエトワール | キタサンエポナ | キタサンエルピス | キタサンガイセン | キタサンクリーガー
prefix,キタノ,267,8,ジャパンフードビジネス | 三恵サービス | 伊藤昭次 | 北所直人 | 北林正巳 | 木村牧場 | 河内孝夫 | 高山幸雄,137,キタノアイザック | キタノアイヴォリー | キタノアゲイン | キタノアベル | キタノアマポーラ
prefix,キョウエイ,532,4,インターナシヨナルホース | 松岡正雄 | 松岡留枝 | 田中晴夫,44,キョウエイアラジン | キョウエイアンバー | キョウエイアート | キョウエイウインド | キョウエイオビエド
prefix,キョウワ,278,4,協和牧場 | 林順子 | 浅川吉男 | 浅川昌彦,7,キョウワウォール | キョウワグロリア | キョウワスピネル | キョウワセイヴァー | キョウワニケ
prefix,クインズ,144,4,クイーンズ・ランチ | ケイアイスタリオン | 亀田和弘 | 嶋田賢,50,クインズアトリア | クインズアルテミス | クインズイザナミ | クインズエクレア | クインズエルサ
prefix,クール,130,5,ヒダカ・ブリーダーズ・ユニオン | 久木田隆 | 川上哲司 | 林進 | 社台レースホース,49,クールアイ | クールカグラ | クールガジェット | クールキャンドウ | クールギブス
prefix,クラウン,184,7,クラウン | 名古屋友豊 | 和田志保 | 矢野まり子 | 矢野恭裕 | 矢野悦三 | 矢野雅子,48,クラウンアバンティ | クラウンアラビアン | クラウンアールシー | クラウンインジエア | クラウンウルル
prefix,グラス,212,3,伊東純一 | 半沢 | 浜口季彦,31,グラスアラバニーユ | グラスアロー | グラスクアドラ | グラスグリード | グラスコメット
